ID;Name;Total Paid;Pending;Date
0;Cliente Sauna;22365.0;0;2014-11-19
0;Cliente Sauna;53965.0;0;2014-12-19
0;Cliente Sauna;53499.0;0;2014-01-20
5;Cliente 5;334.0;0;2014-01-20
16;Cliente 16;104.0;0;2014-01-20
19;Cliente 19;49.0;94.0;2014-01-20
20;Cliente 20;0;243.0;2014-01-20
21;Cliente 21;1272.0;39.0;2014-01-20
22;Cliente 22;280.0;128.0;2014-01-20
27;Cliente 27;48.0;0;2014-01-20
39;Cliente 39;1959.5;0;2014-01-20
42;Cliente 42;20.0;0;2014-01-20
45;Cliente 45;6.0;0;2014-01-20
46;Cliente 46;15.0;0;2014-01-20
0;Cliente Sauna;23945.0;0;2015-01-20
0;Cliente Sauna;57027.0;0;2014-02-20
16;Cliente 16;302.0;0;2014-02-20
20;Cliente 20;130.0;319.0;2014-02-20
21;Cliente 21;1330.0;0;2014-02-20
22;Cliente 22;430.0;266.0;2014-02-20
24;Cliente 24;249.0;0;2014-02-20
0;Cliente Sauna;43358.0;0.0;2015-02-20
0;Cliente Sauna;9088.0;0;2014-03-20
21;Cliente 21;69.0;97.0;2014-03-20
23;Cliente 23;0;697.3399999999999;2014-03-20
0;Cliente Sauna;342.0;0;2015-03-20
0;Cliente Sauna;18003.0;0;2014-05-20
0;Cliente Sauna;49305.0;0;2014-06-20
0;Cliente Sauna;5384.0;0.0;2014-08-20
7;Cliente 7;97.0;510.0;2014-08-20
37;Cliente 37;585.0;25.0;2014-08-20
0;Cliente Sauna;40016.0;0;2014-09-20
13;Cliente 13;415.0;1277.0;2014-09-20
0;Cliente Sauna;7129.0;0;2014-10-20
0;Cliente Sauna;59568.0;0;2014-11-20
20;Cliente 20;233.0;2059.0;2014-11-20
0;Cliente Sauna;9758.0;0;2014-12-20
6;Cliente 6;296.0;0;2014-12-20
21;Cliente 21;127.0;39.0;2014-12-20
22;Cliente 22;1406.0;0;2014-12-20
60;Cliente 60;660.0;71.0;2014-12-20
0;Cliente Sauna;55902.0;0;2014-01-21
11;Cliente 11;79.0;38.0;2014-01-21
14;Cliente 14;0;200.0;2014-01-21
17;Cliente 17;2.0;230.00000000000003;2014-01-21
39;Cliente 39;1960.5;4.0;2014-01-21
0;Cliente Sauna;38751.0;0;2015-01-21
11;Cliente 11;79.0;108.0;2015-01-21
0;Cliente Sauna;27627.0;0;2014-02-21
39;Cliente 39;1336.5;0;2014-02-21
0;Cliente Sauna;38470.0;0;2015-02-21
2;Cliente 2;520.0;0;2015-02-21
0;Cliente Sauna;77609.0;0;2014-03-21
39;Cliente 39;2670.5;0;2014-03-21
0;Cliente Sauna;36333.0;0;2015-03-21
7;Cliente 7;0;297.0;2015-03-21
0;Cliente Sauna;47410.0;0;2014-05-21
37;Cliente 37;495.0;0;2014-05-21
38;Cliente 38;552.0;0;2014-05-21
0;Cliente Sauna;71611.0;0;2014-06-21
6;Cliente 6;2372.5;0;2014-06-21
20;Cliente 20;233.0;1158.0;2014-06-21
60;Cliente 60;119.0;248.0;2014-06-21
0;Cliente Sauna;58552.0;0.0;2014-07-21
0;Cliente Sauna;45018.0;0;2014-08-21
19;Cliente 19;1739.5;0;2014-08-21
0;Cliente Sauna;72226.0;0;2014-10-21
0;Cliente Sauna;48540.0;0;2014-11-21
39;Cliente 39;1615.5;22.0;2014-11-21
0;Cliente Sauna;2754.0;0;2014-01-22
9;Cliente 9;77.0;0;2014-01-22
16;Cliente 16;120.0;0;2014-01-22
0;Cliente Sauna;27255.0;0;2015-01-22
16;Cliente 16;220.0;0;2015-01-22
39;Cliente 39;1182.5;0;2015-01-22
0;Cliente Sauna;14412.0;0;2014-02-22
41;Cliente 41;17.0;440.67999999999995;2014-02-22
43;Cliente 43;19.0;50.68000000000001;2014-02-22
44;Cliente 44;15.0;48.68000000000001;2014-02-22
0;Cliente Sauna;79780.0;0;2014-03-22
7;Cliente 7;0;347.0;2014-03-22
16;Cliente 16;384.0;118.0;2014-03-22
0;Cliente Sauna;988.0;0;2014-04-22
39;Cliente 39;206.0;0;2014-04-22
0;Cliente Sauna;6579.0;0;2014-05-22
13;Cliente 13;415.0;353.0;2014-05-22
39;Cliente 39;498.0;20.0;2014-05-22
0;Cliente Sauna;48630.0;0;2014-07-22
0;Cliente Sauna;63082.0;0;2014-08-22
0;Cliente Sauna;2154.0;0;2014-09-22
0;Cliente Sauna;65195.0;0;2014-10-22
0;Cliente Sauna;55273.0;0;2014-11-22
6;Cliente 6;1423.0;0;2014-11-22
0;Cliente Sauna;70717.0;0;2014-01-23
6;Cliente 6;2231.5;0;2014-01-23
16;Cliente 16;224.0;0;2014-01-23
17;Cliente 17;4.0;228.00000000000003;2014-01-23
20;Cliente 20;104.0;139.0;2014-01-23
21;Cliente 21;1366.0;12.0;2014-01-23
22;Cliente 22;280.0;132.0;2014-01-23
24;Cliente 24;6.0;0;2014-01-23
0;Cliente Sauna;69948.0;0;2015-01-23
14;Cliente 14;0;261.0;2015-01-23
0;Cliente Sauna;72302.0;0;2015-02-23
20;Cliente 20;130.0;479.0;2015-02-23
0;Cliente Sauna;22916.0;0;2015-03-23
0;Cliente Sauna;40868.0;0;2014-04-23
37;Cliente 37;430.0;0;2014-04-23
0;Cliente Sauna;31081.0;0;2014-05-23
0;Cliente Sauna;6014.0;0;2014-06-23
0;Cliente Sauna;56783.0;0;2014-07-23
0;Cliente Sauna;62326.0;0;2014-08-23
6;Cliente 6;1940.5;0;2014-08-23
60;Cliente 60;336.0;395.0;2014-08-23
0;Cliente Sauna;52012.0;0;2014-09-23
0;Cliente Sauna;70807.0;0;2014-10-23
0;Cliente Sauna;6978.0;0;2014-01-24
21;Cliente 21;60.0;106.0;2014-01-24
0;Cliente Sauna;53221.0;0;2015-01-24
6;Cliente 6;1415.0;0;2015-01-24
0;Cliente Sauna;17587.0;0;2014-02-24
11;Cliente 11;237.0;113.0;2014-02-24
20;Cliente 20;229.0;380.0;2014-02-24
21;Cliente 21;159.0;7.0;2014-02-24
22;Cliente 22;430.0;268.0;2014-02-24
42;Cliente 42;69.0;0;2014-02-24
46;Cliente 46;64.0;0;2014-02-24
0;Cliente Sauna;40268.0;0;2015-02-24
0;Cliente Sauna;59909.0;0;2014-03-24
21;Cliente 21;1349.0;0;2014-03-24
46;Cliente 46;124.0;0;2014-03-24
0;Cliente Sauna;35570.0;0;2015-03-24
0;Cliente Sauna;40591.0;0;2014-04-24
23;Cliente 23;0;919.0099999999999;2014-04-24
0;Cliente Sauna;3492.0;0;2014-05-24
6;Cliente 6;145.0;0;2014-05-24
13;Cliente 13;415.0;377.0;2014-05-24
19;Cliente 19;1237.5;0;2014-05-24
0;Cliente Sauna;75980.0;0;2014-06-24
64;Cliente 64;158.0;0;2014-06-24
0;Cliente Sauna;28688.0;0;2014-07-24
0;Cliente Sauna;25150.0;0;2014-09-24
0;Cliente Sauna;39404.0;0;2014-10-24
39;Cliente 39;1558.5;79.0;2014-10-24
0;Cliente Sauna;26352.0;0;2014-11-24
0;Cliente Sauna;33598.0;0;2014-01-25
13;Cliente 13;29.0;180.0;2014-01-25
20;Cliente 20;130.0;113.0;2014-01-25
22;Cliente 22;280.0;145.0;2014-01-25
26;Cliente 26;12.0;0;2014-01-25
39;Cliente 39;1536.5;0;2014-01-25
50;Cliente 50;18.0;0;2014-01-25
0;Cliente Sauna;51834.0;0;2014-02-25
21;Cliente 21;1239.0;72.0;2014-02-25
0;Cliente Sauna;74740.0;0;2015-02-25
0;Cliente Sauna;54539.0;0;2014-03-25
21;Cliente 21;1278.0;33.0;2014-03-25
0;Cliente Sauna;57752.0;0;2015-03-25
14;Cliente 14;0;611.0;2015-03-25
0;Cliente Sauna;39197.0;0;2014-04-25
60;Cliente 60;73.0;0;2014-04-25
0;Cliente Sauna;10869.0;0;2014-06-25
0;Cliente Sauna;75796.0;0;2014-07-25
0;Cliente Sauna;13614.0;0;2014-08-25
0;Cliente Sauna;1.45e4;0;2014-09-25
0;Cliente Sauna;66360.0;0;2014-10-25
0;Cliente Sauna;73005.0;0;2014-11-25
11;Cliente 11;546.0;268.0;2014-11-25
0;Cliente Sauna;57149.0;0;2015-01-26
13;Cliente 13;52.0;157.0;2015-01-26
0;Cliente Sauna;47696.0;0;2014-02-26
56;Cliente 56;0;100.0;2014-02-26
0;Cliente Sauna;65383.0;0;2015-02-26
16;Cliente 16;302.0;100.0;2015-02-26
18;Cliente 18;0;536.6700000000001;2015-02-26
0;Cliente Sauna;75492.0;0;2014-03-26
37;Cliente 37;365.0;0;2014-03-26
0;Cliente Sauna;4969.0;0;2015-03-26
11;Cliente 11;333.0;329.0;2015-03-26
