ID;Name;Total Paid;Pending;Date
0;Cliente Sauna;6257.0;0;2014-05-05
21;Cliente 21;50.0;116.0;2014-05-05
23;Cliente 23;0;1012.6699999999998;2014-05-05
24;Cliente 24;689.0;0;2014-05-05
60;Cliente 60;73.0;6.0;2014-05-05
0;Cliente Sauna;7259.0;0;2014-06-05
9;Cliente 9;477.0;0;2014-06-05
0;Cliente Sauna;72156.0;0;2014-07-05
2;Cliente 2;1404.0;0;2014-07-05
7;Cliente 7;97.0;360.0;2014-07-05
13;Cliente 13;415.0;427.0;2014-07-05
39;Cliente 39;2459.5;16.0;2014-07-05
0;Cliente Sauna;71697.0;0;2014-08-05
0;Cliente Sauna;46997.0;0;2014-09-05
0;Cliente Sauna;48382.0;0.0;2014-11-05
0;Cliente Sauna;43698.0;0;2014-12-05
11;Cliente 11;550.0;284.0;2014-12-05
22;Cliente 22;1380.0;0;2014-12-05
0;Cliente Sauna;46018.0;0;2015-01-06
18;Cliente 18;0;200.0;2015-01-06
0;Cliente Sauna;36525.0;0;2014-02-06
5;Cliente 5;495.0;0;2014-02-06
6;Cliente 6;946.0;0;2014-02-06
17;Cliente 17;4.0;425.67;2014-02-06
21;Cliente 21;786.0;210.0;2014-02-06
22;Cliente 22;430.0;206.0;2014-02-06
23;Cliente 23;0;326.66999999999996;2014-02-06
